crop,N_min,N_max,P_min,P_max,K_min,K_max,temp_min,temp_max,humidity_min,humidity_max,ph_min,ph_max,rain_min,rain_max
Banana,63,93,32,62,78,108,21,31,75,95,5.4,6.4,1127,1527
Pineapple,61,91,37,67,59,89,29,39,38,58,6.0,7.0,1625,2025
Jackfruit,10,40,11,41,55,85,19,29,32,52,6.5,7.5,727,1127
Durian,59,89,73,103,13,43,29,39,63,83,6.1,7.1,1197,1597
Rambutan,11,41,32,62,50,80,18,28,59,79,4.6,5.6,1323,1723
Mangosteen,54,84,24,54,35,65,16,26,43,63,6.0,7.0,1754,2154
Coconut,44,74,10,40,54,84,26,36,60,80,5.9,6.9,1309,1709
Lychee,33,63,56,86,19,49,13,23,63,83,6.8,7.8,1566,1966
Longan,31,61,65,95,59,89,12,22,50,70,5.5,6.5,1121,1521
Guava,20,50,76,106,40,70,25,35,68,88,5.8,6.8,914,1314
Apple,77,107,8,38,64,94,25,35,49,69,4.8,5.8,352,752
Pomegranate,59,89,54,84,36,66,11,21,61,81,5.5,6.5,571,971
Custard Apple,25,55,20,50,40,70,13,23,32,52,4.6,5.6,597,997
Coffee,29,59,47,77,41,71,21,31,65,85,6.1,7.1,2143,2543
Rubber,69,99,38,68,54,84,19,29,33,53,4.8,5.8,1042,1442
Tea,16,46,79,109,72,102,18,28,41,61,5.8,6.8,365,765
Pepper,81,111,43,73,15,45,16,26,58,78,6.3,7.3,437,837
Cashew,13,43,31,61,38,68,14,24,60,80,5.7,6.7,2146,2546
Sugarcane,45,75,64,94,34,64,12,22,51,71,6.1,7.1,576,976
Cotton,53,83,5,35,56,86,23,33,37,57,5.7,6.7,1308,1708
Soybean,51,81,66,96,39,69,20,30,60,80,6.1,7.1,762,1162
Peanut,49,79,15,45,14,44,28,38,55,75,6.4,7.4,1912,2312
Tobacco,37,67,70,100,68,98,11,21,54,74,4.9,5.9,1026,1426
Acacia,49,79,43,73,76,106,12,22,79,99,6.0,7.0,1386,1786
Eucalyptus,38,68,24,54,55,85,17,27,72,92,6.1,7.1,1409,1809
Pine,20,50,55,85,61,91,16,26,47,67,6.1,7.1,1132,1532
Melaleuca,71,101,14,44,36,66,22,32,64,84,5.4,6.4,1816,2216
Cinnamon,25,55,61,91,65,95,18,28,41,61,5.2,6.2,927,1327
Star Anise,8,38,36,66,40,70,21,31,33,53,6.7,7.7,1078,1478
Macadamia,10,40,8,38,75,105,28,38,30,50,4.6,5.6,970,1370
Rose,28,58,7,37,78,108,28,38,34,54,5.8,6.8,1084,1484
Chrysanthemum,55,85,81,111,38,68,18,28,52,72,5.9,6.9,1833,2233
Orchid,68,98,15,45,15,45,29,39,42,62,4.8,5.8,2050,2450
Apricot Blossom,76,106,69,99,62,92,17,27,35,55,6.4,7.4,595,995
Peach Blossom,25,55,36,66,15,45,17,27,58,78,5.0,6.0,1801,2201
Lily,29,59,64,94,80,110,14,24,46,66,5.9,6.9,2002,2402
